Designator,Mid X,Mid Y,Rotation,Layer
A1,363.699375,-112.914375,0.0,top
D1,55.9625,-107.834375,180.0,bottom
D10,227.4125,-107.834375,180.0,bottom
D11,246.4625,-107.834375,180.0,bottom
D12,265.5125,-107.834375,180.0,bottom
D13,284.5625,-107.834375,180.0,bottom
D14,313.1375,-107.834375,180.0,bottom
D15,341.844375,-107.715625,180.0,bottom
D16,60.725,-126.884375,180.0,bottom
D17,84.5375,-126.884375,180.0,bottom
D18,103.5875,-126.884375,180.0,bottom
D19,122.6375,-126.884375,180.0,bottom
D2,75.0125,-107.834375,180.0,bottom
D20,141.6875,-126.884375,180.0,bottom
D21,160.7375,-126.884375,180.0,bottom
D22,179.7875,-126.884375,180.0,bottom
D23,198.8375,-126.884375,180.0,bottom
D24,217.8875,-126.884375,180.0,bottom
D25,236.9375,-126.884375,180.0,bottom
D26,255.9875,-126.884375,180.0,bottom
D27,275.0375,-126.884375,180.0,bottom
D28,294.0875,-126.884375,180.0,bottom
D29,317.9,-126.884375,180.0,bottom
D3,94.0625,-107.834375,180.0,bottom
D30,341.7125,-126.884375,180.0,bottom
D31,63.10625,-145.934375,180.0,bottom
D32,89.3,-145.934375,180.0,bottom
D33,108.35,-145.934375,180.0,bottom
D34,127.4,-145.934375,180.0,bottom
D35,146.45,-145.934375,180.0,bottom
D36,165.5,-145.934375,180.0,bottom
D37,184.55,-145.934375,180.0,bottom
D38,203.6,-145.934375,180.0,bottom
D39,222.65,-145.934375,180.0,bottom
D4,113.1125,-107.834375,180.0,bottom
D40,241.7,-145.934375,180.0,bottom
D41,260.75,-145.934375,180.0,bottom
D42,279.8,-145.934375,180.0,bottom
D43,310.75625,-145.934375,180.0,bottom
D44,341.7125,-145.934375,180.0,bottom
D45,67.86875,-164.984375,180.0,bottom
D46,98.825,-164.984375,180.0,bottom
D47,117.875,-164.984375,180.0,bottom
D48,136.925,-164.984375,180.0,bottom
D49,155.975,-164.984375,180.0,bottom
D5,132.1625,-107.834375,180.0,bottom
D50,175.025,-164.984375,180.0,bottom
D51,194.075,-164.984375,180.0,bottom
D52,213.125,-164.984375,180.0,bottom
D53,232.175,-164.984375,180.0,bottom
D54,251.225,-164.984375,180.0,bottom
D55,270.275,-164.984375,180.0,bottom
D56,296.46875,-164.984375,180.0,bottom
D57,322.6625,-164.984375,180.0,bottom
D58,341.7125,-164.984375,180.0,bottom
D59,58.34375,-184.034375,180.0,bottom
D6,151.2125,-107.834375,180.0,bottom
D60,82.15625,-184.034375,180.0,bottom
D61,105.96875,-184.034375,180.0,bottom
D62,177.40625,-184.034375,180.0,bottom
D63,246.4625,-184.034375,180.0,bottom
D64,265.5125,-184.034375,180.0,bottom
D65,284.5625,-184.034375,180.0,bottom
D66,303.6125,-184.034375,180.0,bottom
D67,322.6625,-184.034375,180.0,bottom
D68,341.7125,-184.034375,180.0,bottom
D7,170.2625,-107.834375,180.0,bottom
D71,370.9365,-163.008375,180.0,top
D72,370.9365,-153.483375,180.0,top
D73,355.458375,-153.483375,180.0,top
D74,355.458375,-163.008375,180.0,top
D8,189.3125,-107.834375,180.0,bottom
D9,208.3625,-107.834375,180.0,bottom
SW15,341.7125,-99.5,180.0,top
